Activity List,Goals,Time_of_Day,Title,Description,Profession Tags,Depression_Effectiveness_Score,Recommendation,Difficulty_Level,Recommended Day Range,Energy Level,Male/Female,Weekend/Weekday
Wake up at a consistent time and get out of bed,Stress Load,Evening,Wake up at a consistent time and get out of bed,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",3,Recommended,3,21-30,High,Both,Weekday
Practice 10 minutes of mindfulness meditation,General Stress,Work Hours,Practice 10 minutes of mindfulness meditation,"Practicing 10 minutes of mindfulness calms the mind, lowers stress hormones, and enhances focus.","job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,High,Both,Weekday
Practice mindful walking by focusing on each step and sensation while walking.,Physical Stress,Work Break,Practice mindful walking by focusing on each step and sensat...,Mindful walking grounds you in the present moment and helps release physical tension.,"job_holder, student, homemaker, business_owner",3,Highly Recommended,2,Aug-20,High,Both,Weekday
Cook a healthy breakfast,Balance,Morning,Cook a healthy breakfast,"Preparing a nourishing breakfast boosts your mood, energy, and reduces morning stress.","job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,High,Both,Weekday
Do one task you've been putting off,Cognitive Impact,Morning,Do one task you've been putting off,Completing a delayed task clears mental clutter and creates a sense of accomplishment.,"job_holder, student, homemaker, business_owner",5,Highly Recommended,2,Aug-20,Medium,Both,Weekday
Repeat a calming mantra or affirmation and cultivating a positive mindset.,Social Stress,Work Hours,Repeat a calming mantra or affirmation and cultivating a pos...,Visualization and affirmations promote confidence and mental peace.,"job_holder, student, homemaker, business_owner",3,Optional,4,21-30,Low,Both,Weekday
Wake up and write down three things you're grateful for,Coping,Work Break,Wake up and write down three things you're grateful for,"Waking up at a consistent time sets a healthy rhythm for your mind and body, reducing stress.","job_holder, student, homemaker, business_owner",5,Essential,1,01-Jul,Low,Both,Weekday
Practice 15 minutes of yoga or stretching,Stress Load,Work Break,Practice 15 minutes of yoga or stretching,"Stretching and yoga improve flexibility, reduce muscle tension, and calm the nervous system.","job_holder, student, homemaker, business_owner",4,Optional,4,21-30,High,Both,Weekday
Practice PMR by tensing and then relaxing different muscle groups.,Social Stress,Morning,Practice PMR by tensing and then relaxing different muscle g...,This activity supports your emotional well-being and relieves mental tension.,"job_holder, student, homemaker, business_owner",4,Recommended,3,21-30,Low,Both,Weekday
Listen to a new podcast or read a book for 30 minutes,Social Stress,Work Hours,Listen to a new podcast or read a book for 30 minutes,Listening or reading engages your mind and helps shift focus away from stressors.,"job_holder, student, homemaker, business_owner",5,Essential,1,01-Jul,High,Both,Weekday
Watch a funny or uplifting movie,Coping,Work Hours,Watch a funny or uplifting movie,Watching something uplifting boosts serotonin and improves emotional well-being.,"job_holder, student, homemaker, business_owner",4,Highly Recommended,2,Aug-20,High,Both,Weekday
Take a 20-minute nap.,Balance,Work Break,Take a 20-minute nap.,"Short naps recharge your brain, improving clarity and lowering irritability.","job_holder, student, homemaker, business_owner",3,Recommended,3,21-30,Low,Both,Weekday
Take a moment to reflect on things you're grateful for.,General Stress,Work Hours,Take a moment to reflect on things you're grateful for.,Reflecting on gratitude fosters positivity and counteracts negative thinking.,"job_holder, student, homemaker, business_owner",4,Highly Recommended,2,Aug-20,Medium,Both,Weekday
Practice a 10-minute guided breathing exercise.,Social Stress,Morning,Practice a 10-minute guided breathing exercise.,Guided breathing slows the heart rate and reduces symptoms of stress and anxiety.,"job_holder, student, homemaker, business_owner",4,Essential,1,01-Jul,High,Both,Weekday
